hotel_name,review_summary,score,review
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Grand Chola is the worst ever in every way,1,"Hi,  My name is Vijay Jung Thapa - and I stayed at the ITC Grand Chola for three nights March 21 to 23, 2021.  I’m not someone who usually writes reviews and the occasional bad experience I take in my stride, believing the staff and the hotel are having a bad day - and we all occasionally have one.  But this stay - was so consistently bad that I am now making an exception. On the first morning, around 7 am as I was making my way down to the lobby, I found that all the elevators weren’t working. There was a telephone at the elevator hall where I complained. I was told someone would come soon. Ten minutes- later there was no one. I had now been joined by another guest who was wearing a neck brace and a doctor’s appointment. He had himself already complained twice over the phone.…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Embarrassing,1,"My friend(Who was staying with me)’s brother had come in the night to see us in the night and we requested to send to the room saying that he’ll leave in 15 minutes but the staff and the duty manager had an arrogant tone which was so unlike any other Taj properties. We understand there are certain rules but you can’t look down on your regular customers. We are telling we are ready to provide id of the guest but the reply was “ nobody is allowed after 9pm”. A reputed hotel known for the hospitality felt like a jail, the duty manager speaks like you don’t deserve to stay here and was so unapologetic and entitled. We don’t pay such a big amount to feel unwelcomed. It’s like front desk staff aren’t payed for months hence they’re not interested in their jobs . Please be aware that…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,Came Again but Disappointed.,1,"Recently I visited Chennai for a temple tour on the 10 June.Impressed by Taj the previous visit a few years, we came back again this June. Even though we did the booking way back in their direct website and holding their inner membership,with special request of connecting doors, it was not given to us at all. After a day's stay we still requested for connecting rooms but was not taken into consideration after we came back there a further 6 days from the tour. We also requested for a premium room where the whole family can be together topping up extra but that too was ignored.The manager was full of excuses and we were given a second floor with no wash taps for the toilets at all. Instead given a pail to wash.I felt it was an awful thing to do in Taj Club in this era using…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
Taj Club House,TAJ CLUB HOUSE,1,"Not Well taken care off property , no proper hygiene , Cockroaches in room , the equipment used for in room dining were damaged / broken (Serving tray / Ice bucket )  not living by Taj Brand standards .…"
"ITC Grand Chola, Chennai - a Luxury Collection Hotel",Lax not lux at the ITC,1,"I was expecting great things as a longtime Bonvoy member... and was thankful when my driver didn’t show up at the Chennai airport and the ITC sent a car to get me in the wee hours of the morning.  However my experience once I got to my room was altogether different.   Lax not lux:  Was put in a wasteland room on the 22nd floor... 2219... which was dirty, in great need of a remodel, lights turned on from the iPad repeatedly at night, and stunk of old cheese.  Where I plugged in my iPhone and cpap the wall was just as dirty as the floor.  One electrical outlet was pushed into the wall and unusable.   After muddling through the first night with very little sleep, called the reception  and they assured me that they would have the manager on duty call. No call back.  I had to go to…"
